,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
1100001G20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,1.0,0.1,0.1,0.1,0.1,0.1
1110001A16Rik,2.1,0.1,4.4,3.1,3.1,4.6,4.3,5.1,5.2,6.4,4.9,4.2,3.5,3.5,8.2,9.7,9.6,10.6,6.2,6.0,5.7
1110001J03Rik,34.7,22.1,50.1,41.4,42.4,59.0,20.1,19.1,20.5,33.2,10.1,17.4,8.3,12.2,4.8,9.7,14.6,20.3,27.7,24.9,23.8
1110002B05Rik,3.3,3.1,10.4,9.3,9.8,11.6,25.0,22.2,59.3,47.9,65.4,45.9,63.3,53.2,22.2,17.7,109.5,125.5,41.6,38.5,42.1
1110002L01Rik,0.8,0.1,0.1,0.1,0.1,0.1,1.3,1.5,0.9,0.9,1.0,1.0,0.4,0.4,0.3,0.2,0.2,0.2,0.9,0.9,0.6
1110002N22Rik,2.9,3.6,3.2,4.1,3.2,3.1,1.4,1.1,1.5,1.4,1.1,0.9,0.9,0.8,2.1,2.2,1.9,2.1,1.4,1.9,1.8
1110003E01Rik,8.4,7.9,14.6,17.5,20.8,17.8,31.9,28.2,25.8,31.9,32.3,34.9,44.8,41.8,22.1,25.9,29.7,30.4,21.9,22.6,21.9
1110004E09Rik,9.5,7.0,10.8,10.4,8.0,10.1,10.1,9.0,9.9,14.7,7.5,6.9,4.3,4.8,2.2,3.3,11.3,12.1,9.4,8.6,9.0
1110004F10Rik,15.6,14.6,26.2,18.1,27.2,23.0,46.6,49.8,36.4,48.0,42.4,41.7,21.9,25.5,12.2,12.7,32.1,38.3,37.6,36.0,37.7
1110005A03Rik,1.5,4.1,5.9,3.1,4.5,4.1,5.0,4.9,6.1,8.4,6.3,7.4,6.7,6.5,4.7,4.5,5.7,6.2,4.6,4.7,3.9
