,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
D14Ertd668e,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.6,0.3,0.2,0.2,0.1,0.1,0.1
D15Ertd621e,5.2,5.5,8.0,6.4,9.3,6.9,12.4,16.4,18.2,13.1,21.3,19.7,5.8,7.9,26.8,19.0,13.7,13.5,13.3,12.1,13.2
D16Ertd472e,1.3,1.2,1.7,1.7,1.7,2.3,1.4,1.2,5.1,4.4,8.2,6.3,5.3,6.0,0.5,0.3,2.4,2.1,2.4,1.9,1.8
D16Ertd519e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D16H22S680E,1.2,1.7,1.0,1.3,2.0,2.2,9.8,11.6,7.1,12.4,10.4,12.6,9.0,11.6,13.4,17.2,5.2,5.9,12.8,14.4,12.3
D17H6S53E,1.2,0.7,0.6,0.6,1.2,1.2,2.4,1.7,1.9,2.4,1.8,1.1,1.3,1.2,2.5,3.1,1.0,0.8,1.9,2.3,2.6
D17H6S56E-3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
D17Wsu104e,4.4,2.1,7.7,5.6,7.2,7.0,23.1,21.6,39.3,64.0,39.7,51.1,36.5,36.7,47.6,59.3,59.3,72.1,31.8,28.4,31.5
D17Wsu92e,4.8,3.8,7.9,9.7,8.1,8.9,21.8,20.9,16.3,27.1,30.7,38.1,57.4,52.1,41.4,45.7,26.4,27.1,29.8,33.3,25.0
D18Ertd653e,0.4,0.3,0.7,1.0,0.7,1.3,4.9,4.5,10.0,8.7,4.5,4.3,3.4,2.9,32.6,27.0,12.2,13.8,7.9,9.6,7.0
D19Bwg1357e,2.9,2.3,4.5,2.9,3.9,3.8,2.1,7.7,7.8,6.2,7.2,5.2,2.6,3.0,2.4,1.7,5.8,5.6,11.1,11.5,12.1
D19Ertd386e,2.2,1.7,2.5,1.8,3.6,2.0,0.7,1.4,2.5,1.4,2.0,1.0,1.2,1.2,2.6,1.5,4.6,4.8,1.8,1.7,2.0
D19Ertd737e,3.9,4.7,11.3,4.0,6.2,4.1,10.8,10.3,12.1,9.9,14.7,9.6,7.0,7.3,3.1,2.3,11.6,10.9,8.7,7.4,7.8
D19Wsu162e,6.3,4.3,3.7,3.7,6.2,4.2,9.6,10.3,13.2,15.8,13.4,13.7,8.3,9.3,32.0,30.2,16.6,16.3,12.6,12.4,12.8
D1Bwg0212e,2.5,2.6,2.7,2.1,3.5,2.1,6.5,6.5,4.8,5.7,3.8,5.4,1.6,1.9,3.0,2.2,6.0,6.4,5.4,5.2,5.2
D1Ertd622e,1.3,1.6,3.3,4.3,3.6,3.1,10.9,7.8,8.6,8.4,22.4,16.0,20.3,24.6,13.3,10.6,9.8,10.9,10.2,9.9,10.4
D1Pas1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.8,0.6,0.5,0.5,0.2,0.1,0.2,0.5,0.2,0.9,1.0,0.7,0.4,0.6
D230025D16Rik,4.6,3.2,2.5,3.0,4.5,2.1,7.4,6.6,6.0,7.1,7.9,11.6,6.1,7.3,7.2,7.5,6.8,6.9,6.2,5.6,6.8
D230037D09Rik,5.2,5.1,7.9,3.8,7.3,6.8,9.6,7.7,10.7,11.1,8.6,9.9,3.1,4.5,35.9,25.1,9.9,9.1,7.3,6.9,7.0
D2Ertd750e,0.2,0.4,0.2,0.1,0.2,0.2,0.3,0.6,6.3,4.8,0.8,0.7,0.2,0.1,0.5,0.2,3.7,4.1,3.6,3.7,4.8
D2hgdh,2.7,2.8,2.7,3.4,3.7,1.8,2.1,2.1,1.8,1.8,1.9,2.1,1.3,1.7,2.5,2.6,1.1,1.1,1.7,1.9,1.8
D2Wsu81e,2.0,1.9,2.6,2.4,4.3,2.0,9.2,11.0,9.6,15.6,8.3,10.9,7.6,8.1,8.3,10.3,3.6,4.6,11.4,12.2,11.0
D330012F22Rik,0.7,0.6,0.4,0.6,0.6,1.0,0.5,0.3,0.3,0.3,0.3,0.1,0.4,0.3,0.5,0.2,0.3,0.3,0.6,0.6,0.5
D330023K18Rik,2.3,2.3,4.6,2.8,4.4,2.9,0.9,1.4,1.3,1.9,1.1,1.2,1.4,1.5,0.7,1.7,1.0,0.9,1.3,1.1,1.2
D330028D13Rik,0.0,0.2,0.1,0.1,0.5,0.1,1.3,1.4,0.6,0.9,0.4,0.2,0.1,0.1,0.1,0.1,0.5,0.6,1.0,0.6,0.9
D330041H03Rik,5.3,5.2,3.0,1.4,0.1,2.4,1.5,1.5,3.4,4.1,2.6,3.0,1.0,1.6,1.1,1.4,1.7,2.0,4.1,2.2,3.8
D330045A20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2
D330050G23Rik,0.8,0.2,0.7,0.2,0.7,0.5,0.2,0.1,2.1,2.6,0.6,0.6,0.3,0.4,0.6,0.1,0.1,0.1,0.6,0.6,0.3
D330050I16Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.7,0.2,0.7,0.4,0.5,0.3,0.3,0.3,0.2,0.5,0.1,0.1,0.4,0.4
D3Bwg0562e,0.1,0.4,0.3,0.4,0.1,0.3,27.3,33.7,10.7,7.7,1.7,1.6,0.3,1.1,0.5,0.8,0.2,0.2,20.2,21.1,21.4
D3Ertd254e,5.9,6.0,4.2,2.7,5.6,5.8,1.7,2.5,2.9,1.6,1.1,0.8,0.2,0.4,0.2,0.1,1.3,1.3,2.4,2.4,2.7
D3Ertd751e,5.2,4.3,4.2,3.2,5.8,5.4,0.5,0.7,1.0,0.6,0.8,0.2,0.2,0.2,0.1,0.1,0.4,0.4,0.5,0.5,0.7
D430019H16Rik,0.5,0.5,1.1,2.8,0.4,2.2,21.1,21.5,9.0,23.6,2.3,10.6,0.5,3.0,1.3,1.4,0.2,0.6,36.1,40.0,27.7
D430020J02Rik,0.1,0.0,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
D430036J16Rik,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D430041D05Rik,0.3,0.3,0.2,0.5,0.2,0.5,8.0,13.6,2.8,2.8,11.3,7.5,0.8,1.7,0.1,0.2,0.1,0.1,7.8,7.5,9.3
D430042O09Rik,1.2,1.0,0.8,0.6,1.1,0.8,1.2,2.1,2.2,2.3,2.0,1.8,1.1,1.6,1.7,1.2,1.5,1.5,2.9,2.7,3.2
D4Bwg0951e,0.1,0.2,0.1,0.1,0.1,0.2,5.0,2.6,3.9,5.9,1.8,2.4,2.1,1.5,0.1,0.2,22.1,26.6,4.0,3.8,5.5
D4Ertd22e,1.7,1.6,1.7,1.8,2.4,2.4,12.4,11.7,13.9,18.4,12.5,17.5,13.3,14.3,44.0,47.2,24.7,26.6,14.6,14.2,13.9
D4Ertd617e,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2
D4Wsu53e,96.7,118.3,39.6,8.8,37.8,18.6,131.7,119.9,84.9,45.0,58.2,32.0,21.4,24.8,21.3,20.1,37.2,38.9,73.7,62.9,77.5
D530049I02Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D5Ertd577e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D5Ertd579e,9.3,6.5,6.5,6.5,7.8,8.0,7.7,16.2,11.4,9.8,10.7,9.5,3.8,5.5,3.6,2.4,5.3,5.0,11.8,10.9,11.6
D5Ertd605e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.7,0.8,0.4,0.5,0.1,0.1,0.2
D630003M21Rik,2.3,1.5,0.9,0.5,1.8,0.9,1.2,1.2,4.7,7.2,2.0,2.3,1.6,2.0,0.2,0.2,0.2,0.3,3.0,2.7,2.4
D630023F18Rik,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.5,1.1,1.0,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.1,1.2
D630029K05Rik,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D630032N06Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
D630033O11Rik,0.1,0.4,1.2,1.0,0.4,0.4,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
D630037F22Rik,1.9,1.8,1.7,0.7,1.1,0.9,0.8,1.8,1.6,1.0,3.3,1.5,0.8,0.6,0.1,0.2,0.9,0.9,1.9,1.7,2.2
D630039A03Rik,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.4,0.4,0.3
D630041G03Rik,0.2,0.6,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
D630042F21Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D630042P16Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.1,0.1,0.1
D630045J12Rik,1.2,0.9,0.8,0.8,0.9,0.7,5.0,4.6,7.9,5.3,16.4,14.3,1.2,2.4,0.4,0.4,0.1,0.1,6.9,6.0,7.0
D6Ertd474e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D6Ertd527e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
D6Mm5e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,1.0,0.1,0.1,0.1,0.1,0.1
D6Wsu116e,36.7,30.3,18.5,14.2,25.6,16.6,8.7,19.6,21.2,15.0,28.4,19.7,13.1,16.5,14.8,9.8,13.5,12.3,19.4,17.5,19.9
D6Wsu163e,4.1,3.1,4.0,2.8,3.5,3.2,1.9,4.3,7.2,9.6,5.1,5.3,2.4,3.0,8.4,7.5,3.1,3.6,4.8,5.5,5.7
D730001G18Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D730005E14Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1
D730039F16Rik,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,1.7,2.1,0.2,0.3,0.3
D730040F13Rik,4.8,3.7,3.0,1.7,4.0,2.4,3.5,1.9,4.7,4.2,6.2,4.4,1.3,2.0,1.5,1.2,3.2,3.0,2.9,2.6,2.8
D730048I06Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D7Ertd443e,0.1,0.1,0.2,0.7,0.2,1.0,0.1,0.1,0.1,0.2,1.8,0.8,5.4,4.7,0.2,0.1,0.1,0.1,0.1,0.1,0.1
D7Ertd715e,1.6,1.6,0.6,0.5,0.1,0.5,17.3,4.4,11.1,1.2,6.4,1.0,1.3,0.5,0.1,0.1,0.8,1.4,4.4,4.5,5.2
D830005E20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D830015G02Rik,0.1,0.1,0.1,0.2,0.1,0.1,0.3,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.5,0.5
D830030K20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,1.2,1.1,0.1,0.1,0.1,0.1,0.2
D830031N03Rik,3.6,3.1,1.0,0.6,1.5,0.5,0.5,0.7,1.4,0.8,0.4,0.3,0.1,0.2,0.1,0.1,6.2,5.8,2.7,2.4,2.2
D830046C22Rik,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
D8Ertd738e,10.2,8.8,13.1,14.9,14.1,16.3,37.2,40.8,37.6,56.6,44.6,62.6,69.6,67.7,75.0,83.7,66.8,83.8,43.2,46.2,41.4
D8Ertd82e,0.1,0.1,0.2,0.4,0.1,0.6,3.4,1.9,6.0,7.5,12.1,17.6,8.1,11.9,23.8,28.4,4.6,3.9,4.6,3.4,3.0
D930014E17Rik,0.7,0.5,1.6,0.7,1.5,2.8,0.8,1.1,2.2,3.0,1.6,1.1,2.0,2.3,7.7,7.7,8.8,11.4,2.3,2.1,2.9
D930015E06Rik,1.1,0.6,0.5,0.4,0.6,0.3,7.3,9.0,3.9,4.1,0.9,2.0,0.1,0.2,6.8,4.8,2.0,1.9,7.6,5.2,7.6
D930015M05Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.6,1.0,0.2,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.3
D930016D06Rik,5.0,3.4,1.8,0.7,1.4,0.8,6.0,10.1,14.9,2.9,10.8,2.4,0.5,1.0,1.5,1.0,3.1,3.3,9.5,8.3,10.1
D930020B18Rik,0.5,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D930048N14Rik,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.2,0.3,0.2,0.1
D9Ertd402e,3.3,2.7,4.2,2.2,4.1,4.4,2.5,2.7,3.3,1.8,3.6,2.6,2.5,2.4,0.4,0.4,1.4,1.2,2.0,2.1,2.6
Daam1,14.7,13.4,7.4,5.5,8.7,7.5,26.9,41.5,10.2,6.0,20.8,7.2,7.4,8.1,1.1,0.8,8.9,9.0,25.0,22.8,22.1
Daam2,49.4,45.0,21.9,19.7,41.6,23.8,2.4,4.7,4.2,2.0,16.6,11.9,26.1,28.4,0.7,1.2,1.8,2.0,19.3,24.2,20.2
Dab1,28.4,23.7,22.6,19.6,37.0,26.3,11.9,11.5,31.9,28.0,15.5,11.5,5.4,6.2,1.0,0.7,0.2,0.5,23.0,21.0,22.6
Dab2,3.2,2.7,2.9,2.6,3.5,1.6,1.3,1.9,22.2,12.1,3.1,2.7,0.3,0.3,25.1,13.1,42.7,40.1,16.0,14.4,15.2
Dab2ip,3.0,2.3,2.0,2.9,3.1,2.2,19.1,16.6,7.5,11.9,3.5,5.8,4.3,6.1,2.3,2.8,23.5,21.3,15.6,17.5,13.5
Dach1,0.6,0.8,0.3,0.3,0.7,0.5,25.2,24.1,2.7,1.9,0.5,0.3,0.1,0.1,0.1,0.1,21.0,19.0,5.0,4.9,4.8
Dach2,0.0,0.1,0.1,0.1,0.1,0.2,1.0,1.1,0.4,0.2,1.6,1.0,0.4,0.5,0.1,0.1,1.4,1.5,0.7,0.8,0.8
Dact1,0.2,0.1,0.3,0.5,0.2,0.6,65.2,74.0,5.8,8.7,5.2,6.9,2.3,2.7,0.4,0.6,1.2,1.3,7.6,6.3,7.1
Dact2,0.2,0.1,0.1,0.1,0.1,0.1,1.1,0.9,0.7,2.0,0.2,0.3,0.2,1.2,0.6,1.2,0.1,0.1,3.2,5.1,2.9
Dact3,0.6,0.6,0.4,1.1,0.8,0.7,27.9,22.8,17.5,31.9,27.0,35.6,54.0,54.1,12.6,19.3,0.6,0.6,25.2,29.0,20.4
Dad1,19.9,15.3,38.3,41.0,55.2,55.1,60.1,51.5,88.7,131.6,91.4,126.6,93.5,95.5,105.4,117.1,129.8,138.5,90.6,82.3,86.7
Daf2,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dag1,30.1,19.6,27.9,17.9,35.8,18.8,22.4,22.5,55.0,64.8,35.1,37.3,6.3,8.7,8.1,9.2,23.5,21.9,41.7,42.8,41.9
Dagla,7.0,4.6,2.1,2.4,5.5,2.3,6.7,5.9,5.3,5.7,1.2,1.7,0.2,1.1,8.2,8.2,2.2,2.0,8.7,9.8,9.5
Daglb,3.5,2.2,2.4,3.1,4.2,2.1,4.6,3.5,11.6,11.6,5.5,6.6,7.3,7.7,149.8,180.2,1.7,1.7,6.0,5.7,6.1
Dak,0.5,0.7,0.8,1.1,2.3,0.9,4.2,4.6,3.3,4.6,5.0,5.7,4.5,4.0,3.4,4.8,1.7,2.0,3.5,3.8,3.7
Dalrd3,7.5,7.2,4.2,3.2,5.0,4.0,16.4,14.4,11.6,13.9,7.7,8.0,7.3,8.4,12.0,14.6,5.3,6.8,15.4,14.9,14.4
Dand5,4.2,2.6,3.2,3.0,2.9,2.6,4.2,3.8,3.1,3.9,1.7,1.9,1.5,1.6,1.2,2.8,1.7,1.6,2.1,2.4,2.2
Dao,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dap,0.8,0.6,1.4,2.1,2.8,2.3,1.8,1.9,10.0,16.4,5.0,8.1,2.5,3.6,27.7,28.1,33.6,32.5,7.2,7.8,7.7
Dap3,3.2,2.5,2.9,2.7,4.3,3.0,9.2,11.4,8.3,14.1,9.8,13.2,9.0,8.9,5.8,6.2,7.3,7.4,8.8,9.2,9.0
Dapk1,1.7,1.2,1.1,0.7,0.7,0.9,24.9,31.1,1.3,1.7,0.5,0.8,0.1,0.6,5.1,3.1,9.2,9.4,12.4,10.7,12.8
Dapk2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.9,1.7,3.4,2.9,11.9,10.0,0.1,0.2,5.0,4.4,1.1,1.1,1.1
Dapk3,0.5,0.3,0.2,0.4,0.5,0.3,18.1,20.0,11.8,19.5,13.4,19.3,17.8,15.3,22.5,30.4,23.5,27.4,15.9,15.6,14.5
Dapl1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.1
Dapp1,8.3,5.6,10.5,4.8,7.3,8.0,0.4,0.8,1.9,0.3,0.1,0.1,0.1,0.1,15.8,9.9,0.2,0.2,3.5,3.0,3.1
Darc,0.6,0.3,0.2,1.2,0.1,0.7,19.4,23.7,3.9,2.6,6.6,9.6,0.6,2.0,1.5,0.8,10.1,12.9,32.0,22.8,30.2
Dars,9.5,9.0,21.9,15.3,15.1,17.2,13.7,20.5,34.3,30.8,42.1,30.6,22.1,24.1,7.7,6.3,24.6,28.1,24.4,24.2,26.1
Dars2,1.2,0.9,1.2,0.7,1.2,1.4,1.2,2.3,3.7,5.2,3.5,4.3,2.5,2.6,2.1,1.4,2.4,2.5,3.3,3.0,3.4
Daxx,1.8,1.1,1.0,1.2,2.0,1.9,8.5,7.6,6.1,8.9,4.3,6.1,3.3,3.2,7.7,7.9,6.4,5.9,7.0,6.8,6.8
Dazap1,1.9,1.3,0.2,0.2,1.3,0.4,31.1,28.9,21.9,27.9,29.3,26.0,14.7,14.4,21.6,19.9,29.5,29.9,22.8,20.4,23.8
Dazap2,67.8,66.3,167.6,180.4,202.4,170.8,44.0,44.5,88.1,99.1,95.1,127.6,100.3,101.2,192.5,163.7,159.3,157.1,62.8,60.7,62.4
Dazl,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2
Dbc1,0.2,0.4,0.3,0.9,0.1,0.8,12.2,16.3,53.8,61.7,22.5,23.3,0.7,2.6,0.7,0.8,0.3,0.2,28.1,27.6,29.2
Dbf4,0.3,0.4,0.9,0.1,0.3,0.4,1.5,1.2,4.5,2.8,1.4,1.2,0.1,0.3,1.9,0.7,6.3,6.2,3.7,3.2,4.4
Dbh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.5,3.4,0.1,0.2,0.1
Dbi,409.4,355.9,948.6,749.4,680.6,966.4,46.3,77.3,373.4,359.3,156.7,120.3,130.6,140.1,22.0,18.3,87.8,106.1,305.9,299.4,312.7
Dbil5,0.5,0.1,1.0,0.4,0.8,0.1,0.1,0.2,0.2,0.6,2.2,1.8,8.6,6.4,0.1,0.1,0.9,1.2,0.3,0.2,0.4
Dbn1,1.9,1.5,1.4,1.4,2.4,1.3,114.4,99.8,20.2,31.7,4.7,7.2,1.5,6.4,3.6,4.9,9.5,10.1,71.3,64.9,69.6
Dbndd1,0.1,0.3,0.5,0.4,0.2,0.4,11.8,10.0,3.4,6.3,1.9,1.9,0.6,1.3,0.6,0.6,0.4,0.3,9.3,8.3,8.5
Dbndd2,6.3,5.5,27.2,16.7,24.4,36.2,3.7,4.8,4.8,4.1,87.2,86.5,186.6,167.6,6.7,9.8,1.6,2.2,11.1,12.6,11.6
Dbnl,4.3,3.1,5.2,4.8,6.9,4.6,22.0,23.0,20.9,32.0,21.3,29.8,22.0,25.2,54.2,73.3,20.3,20.9,20.9,21.8,21.9
Dbp,9.7,7.8,10.4,11.0,27.9,14.3,8.9,12.4,20.3,24.3,6.0,6.7,5.5,5.1,14.3,20.6,7.9,8.6,9.2,10.9,8.3
Dbpht2,0.3,0.5,1.9,1.9,0.3,1.7,9.2,11.5,25.2,13.0,4.6,4.8,0.1,0.3,0.1,0.1,0.1,0.1,11.1,9.9,7.4
Dbr1,1.2,1.2,1.3,1.2,1.7,1.1,4.6,4.8,6.5,7.0,3.2,6.2,1.3,2.1,2.7,1.1,3.2,3.1,4.2,3.6,4.3
Dbt,9.2,9.1,17.2,10.5,18.0,13.8,3.1,5.0,11.0,8.0,15.3,10.7,4.9,5.4,1.4,1.3,1.8,1.7,8.0,8.5,7.6
Dbx1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dbx2,24.5,22.0,19.9,15.7,28.1,20.0,1.0,2.0,6.0,7.4,1.9,1.6,0.6,1.3,0.4,0.4,0.1,0.1,5.3,6.3,5.1
Dcaf10,1.6,1.3,1.4,0.9,0.9,0.9,3.8,3.8,3.5,4.4,2.9,3.6,1.2,1.5,2.3,1.4,6.7,6.4,3.5,3.1,3.2
Dcaf11,9.1,8.5,5.6,5.3,7.9,6.0,19.7,23.1,22.9,33.1,24.0,32.5,24.2,24.5,22.8,31.0,18.3,20.3,19.4,19.2,18.7
Dcaf12,3.8,4.1,6.8,4.6,8.1,6.6,22.8,20.9,26.3,30.0,26.1,29.6,9.3,9.0,22.4,25.2,16.1,15.5,19.5,18.5,18.5
Dcaf12l1,0.1,0.3,0.9,0.7,0.6,0.7,4.3,3.4,19.6,20.8,4.7,4.8,0.2,0.7,0.1,0.4,0.3,0.2,4.8,5.6,4.3
Dcaf12l2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.6
Dcaf13,9.8,5.8,7.5,4.7,5.1,6.3,4.5,10.0,10.2,11.0,7.8,8.3,4.1,3.8,7.0,5.8,12.7,14.1,11.3,9.4,11.3
Dcaf15,2.0,0.8,0.5,0.2,1.1,0.6,16.7,17.7,14.4,19.1,10.1,15.0,7.0,7.4,11.0,12.9,8.1,9.5,14.9,13.4,14.8
Dcaf17,1.7,1.7,0.7,0.6,1.7,0.7,1.8,2.5,3.1,2.2,4.5,2.4,1.5,2.3,1.0,0.4,1.8,2.0,3.0,3.0,3.3
Dcaf4,0.7,1.0,0.7,1.2,1.1,0.5,7.8,7.7,4.8,7.9,5.0,5.0,6.7,6.5,3.7,4.9,3.4,2.9,5.7,5.1,5.4
Dcaf5,2.9,1.5,3.1,3.6,3.6,3.7,13.7,16.1,7.7,9.6,5.6,6.5,3.7,4.5,6.4,6.2,9.6,9.3,10.0,10.0,9.5
Dcaf6,6.3,5.2,4.5,3.0,4.3,3.2,7.3,12.1,12.1,10.9,9.8,7.5,4.2,5.4,3.9,3.4,22.6,23.6,13.7,13.8,12.6
Dcaf7,4.9,3.8,6.8,7.6,8.9,8.5,64.1,62.8,27.0,37.0,18.1,25.3,11.2,13.3,14.3,15.2,11.8,11.0,40.0,43.9,36.4
Dcaf8,8.4,5.7,4.9,4.3,7.8,4.7,20.0,20.6,23.1,25.1,22.9,20.4,22.5,22.6,21.2,19.9,23.9,24.9,18.2,19.4,19.9
Dcakd,2.5,2.2,5.1,4.0,5.7,3.2,34.3,34.2,28.0,41.2,22.3,34.3,13.2,15.1,27.1,28.4,15.3,14.6,30.5,28.6,29.0
Dcbld1,0.6,0.6,0.5,0.4,0.2,0.2,3.8,3.0,6.2,8.8,1.7,4.0,0.3,0.6,0.2,0.1,21.8,25.1,6.5,6.9,8.3
Dcbld2,2.6,1.9,1.7,1.0,2.1,1.2,6.6,5.8,7.0,3.9,14.0,7.3,1.7,2.6,1.0,0.5,1.7,2.2,8.2,7.9,9.1
Dcc,1.8,1.5,1.1,1.0,1.3,0.7,5.9,10.9,7.7,3.9,2.1,1.1,0.4,0.4,0.1,0.1,0.1,0.1,4.0,3.4,3.7
Dcdc2a,0.2,0.2,0.4,0.2,0.3,0.5,0.3,0.3,1.0,0.6,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,1.2,1.1,1.1
Dcdc2b,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4
